Company Name,Industry Sector,Company Size,Service Quality Rating,Pricing Satisfaction,Customer Support Rating,Number of Customer Engagement,Customer Engagement Score,Competitive Offers Encountered ,Contractual Term Length (Months),Market Trend Impact,Customer Churn Status,Customer Age Group,Customer Gender,PIC
Wasapower Marketing Sdn Bhd,Publication,50,,,,5,9,Yes,24,Neutral,,,Female,
Hamidah Thoibah Enterprise ,Services ,3,5,5,4,3,6,No,12,Neutral,Yes,25 - 34,Female,Yaya
Rizki Global (M) Sdn Bhd ,Services ,4,4,5,4,1,3,No,24,Neutral,Yes,35 - 44,Male,Meryl
Badan Pengurusan Kondo Derozelle,Services ,3,4,5,4,1,2,No,12,Neutral,Yes,35 - 44,Male,Meryl
Nuhayra Enterprise,Services ,5,3,5,4,2,5,No,12,Negative,Yes,25 - 34,Male,Yaya
Glamz Deco Resources,Services ,10,4,5,4,2,2,No,12,Positive,Yes,35 - 44,Male,Farah
Raed Dental Lab ,Dental,2,4,5,4,4,10,No,12,Negative,Yes,25 - 34,Prefer Not To Say,Haziq
Pen Sutera Services Sdn Bhd ,Services ,12,4,5,4,6,10,No,12,Positive,Yes,45 - 64,Prefer Not To Say,Haziq
Pen Sutera Bikers Sdn Bhd,Services ,2,3,5,4,6,10,No,12,Positive,Yes,45 - 64,Prefer Not To Say,Haziq
Pen Sutera Sdn Bhd,Services ,7,3,5,4,6,10,No,12,Positive,Yes,45 - 64,Prefer Not To Say,Haziq
Qarah (M) Sdn Bhd ,Construction,5,4,5,4,3,5,No,12,Positive,Yes,45 - 64,Prefer Not To Say,Haziq
MO Healthcare Sdn Bhd,Healthcare,5,3,4,4,1,4,No,12,Neutral,Yes,,,Hadi
Hoovesgang Ventures Sdn Bhd,Services ,10,4,5,4,3,6,No,12,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
Ara Global Legacy,Technologies,5,4,5,4,3,3,No,24,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
Lthmia Associates,Services ,10,3,5,4,3,5,No,12,Neutral,Yes,25 - 34,Male,Nisa
iO Empire Resources,Service,10,3,5,4,3,5,No,15,Neutral,Yes,35 - 44,Male,Aini
Os Startup Sdn Bhd,Services,10,5,5,4,2,4,No,12,Neutral,Yes,35 - 44,Prefer Not To Say,Farah
Klinik Pergigian Impian,Dental,20,5,5,4,3,4,No,12,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
XM Cat Hotel ,Service,4,4,5,4,3,3,No,48,Positive,Yes,35 - 44,Prefer Not To Say,Farah
DIGITAL ECHELON SKY,Services,10,4,5,4,3,6,No,12,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
Afiq Azman Enterprise,Electronics,7,4,5,4,2,1,No,12,Neutral,Yes,25 - 34,Male,Alib
HQ HE & SHE,F&B,27,5,4,4,5,10,Yes,12,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
PAVE ENGINEERING & CONSTRUCTION,Construction,4,3,4,4,4,5,No,12,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
Gerobok Myra ,Boutique,11,5,5,4,1,1,No,12,Neutral,Yes,35 - 44,Female,Alib
TERAPI AL HIKMAH ENTERPRISE ,Medical,6,5,5,4,5,4,No,12,Positive,Yes,35 - 44,Prefer Not To Say,Haziq
DARENA HOLDING SDN BHD,Retail,10,4,5,4,5,3,No,12,Positive,Yes,35 - 44,Prefer Not To Say,Haziq
SABAQWAY ENTERPRISE ,Food,15,4,5,4,7,6,No,6,Neutral,Yes,25 - 34,Male,Faiz
ATR GLOBAL SDN BHD,Services,10,4,5,4,5,10,No,11,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
SMBO Group Sdn Bhd (Madupot),Hr & Finance,10,4,5,4,2,1,No,12,Neutral,Yes,25 - 34,Male,Faiz
Firdaus Profumo Empire (M) Sdn Bhd,Fashion,5,4,5,4,3,2,No,12,Neutral,Yes,25 - 34,Female,Alib
CAHAYA NUR HOLIDAYS (M) SDN BHD,Services,20,4,5,4,2,1,No,12,Neutral,Yes,25 - 34,Male,Alib
MECHATIC SOLUTIONS SDN BHD,Services,5,5,5,4,1,1,No,12,Neutral,Yes,35 - 44,Male,Alib
Medan Kembara AAY Sdn Bhd,Construction,30,4,5,4,3,3,No,12,Positive,Yes,25 - 34,Female,Zakiyah
Sudi Mampir Senario II Kubota ,Agriculture,35,4,5,4,5,2,No,12,Neutral,Yes,35 - 44,Male,Zakiyah
